MolecularFormula,Mass,C,H,O,N,S,P,El_comp,DBE,HC,OC,NC,AI_mod,NOSC,compound_class,log_CIR
C10H19O4N,216.1240985,10,19,4,1,0,0,CHON,2.0,1.9,0.4,0.1,0.0,-0.7999999999999998,lipid_like,1.203129682497945
C11H6O5,217.014228,11,6,5,0,0,0,CHO,9.0,0.5454545454545454,0.45454545454545453,0.0,0.7647058823529411,0.36363636363636376,condensed_aromatic,0.8291962517106868
C12H10O4,217.050592,12,10,4,0,0,0,CHO,8.0,0.8333333333333334,0.3333333333333333,0.0,0.6,-0.16666666666666696,aromatic,0.7703885070714825
C9H14O6,217.07174872549,9,14,6,0,0,0,CHO,3.0,1.5555555555555556,0.6666666666666666,0.0,0.0,-0.22222222222222232,carbohydrate_like,1.1609669434591685
C10H18O5,217.108129791667,10,18,5,0,0,0,CHO,2.0,1.8,0.5,0.0,0.0,-0.7999999999999998,carbohydrate_like,1.0712821585571888
C11H22O4,217.144532,11,22,4,0,0,0,CHO,1.0,2.0,0.36363636363636365,0.0,0.0,-1.2727272727272725,lipid_like,1.0380031554963218
C6H9O6N3,218.041812,6,9,6,3,0,0,CHON,4.0,1.5,1.0,0.5,0.0,2.0,carbohydrate_like,1.191089916555466
C11H8O5,219.029901375,11,8,5,0,0,0,CHO,8.0,0.7272727272727273,0.45454545454545453,0.0,0.6470588235294118,0.18181818181818166,aromatic,0.7674550752400986
C12H12O4,219.066262904762,12,12,4,0,0,0,CHO,7.0,1.0,0.3333333333333333,0.0,0.5,-0.33333333333333304,aromatic,0.8195885070714826
C9H16O6,219.087400461538,9,16,6,0,0,0,CHO,2.0,1.7777777777777777,0.6666666666666666,0.0,0.0,-0.44444444444444464,carbohydrate_like,1.0653002767925017
C8H16O5N2,219.09866,8,16,5,2,0,0,CHON,2.0,2.0,0.625,0.25,0.0,0.0,carbohydrate_like,1.1045353995672347
C13H16O3,219.102646363636,13,16,3,0,0,0,CHO,6.0,1.2307692307692308,0.23076923076923078,0.0,0.391304347826087,-0.7692307692307692,CRAM,1.0844892000696953
C11H11O4N,220.061497,11,11,4,1,0,0,CHON,7.0,1.0,0.36363636363636365,0.09090909090909091,0.5625,0.0,aromatic,0.8358772549037327
C10H6O4S,220.991353,10,6,4,0,1,0,CHOS,8.0,0.6,0.4,0.0,0.7142857142857143,0.3999999999999999,condensed_aromatic,0.8089984402333915
C10H6O6,221.00913992,10,6,6,0,0,0,CHO,8.0,0.6,0.6,0.0,0.7142857142857143,0.6000000000000001,condensed_aromatic,0.8426905677993783
C11H10O3S,221.027795,11,10,3,0,1,0,CHOS,7.0,0.9090909090909091,0.2727272727272727,0.0,0.5294117647058824,-0.18181818181818166,aromatic,0.8108668380095807
C11H10O5,221.045538592593,11,10,5,0,0,0,CHO,7.0,0.9090909090909091,0.45454545454545453,0.0,0.5294117647058824,0.0,aromatic,0.8205138987695103
C8H14O5S,221.048928,8,14,5,0,1,0,CHOS,2.0,1.75,0.625,0.0,0.0,-0.25,carbohydrate_like,1.0393288280888808
C10H10O4N2,221.05673,10,10,4,2,0,0,CHON,7.0,1.0,0.4,0.2,0.6666666666666666,0.3999999999999999,condensed_aromatic,0.8846177101244438
C8H14O7,221.06666,8,14,7,0,0,0,CHO,2.0,1.75,0.875,0.0,0.0,0.0,carbohydrate_like,1.0553054933230348
C12H14O4,221.0819161875,12,14,4,0,0,0,CHO,6.0,1.1666666666666667,0.3333333333333333,0.0,0.4,-0.5,CRAM,1.0983885070714825
C13H18O3,221.1182882,13,18,3,0,0,0,CHO,5.0,1.3846153846153846,0.23076923076923078,0.0,0.30434782608695654,-0.9230769230769234,CRAM,1.2348225334030287
C14H22O2,221.154690084746,14,22,2,0,0,0,CHO,4.0,1.5714285714285714,0.14285714285714285,0.0,0.23076923076923078,-1.2857142857142856,lipid_like,1.2511816063249737
C10H9O5N,222.0407678,10,9,5,1,0,0,CHON,7.0,0.9,0.5,0.1,0.6153846153846154,0.3999999999999999,aromatic,0.8301743624227174
C11H13O4N,222.0771245,11,13,4,1,0,0,CHON,6.0,1.1818181818181819,0.36363636363636365,0.09090909090909091,0.4375,-0.18181818181818166,CRAM,1.1283439215703992
C11H13O4N,222.077238,11,13,4,1,0,0,CHON,6.0,1.1818181818181819,0.36363636363636365,0.09090909090909091,0.4375,-0.18181818181818166,CRAM,1.1283439215703992
C11H14O4,222.085278783784,11,14,4,0,0,0,CHO,5.0,1.2727272727272727,0.36363636363636365,0.0,0.3333333333333333,-0.5454545454545459,CRAM,1.2375364888296552
C7H18O3N3P,222.101343,7,18,3,3,0,1,CHONP,0.5,2.5714285714285716,0.42857142857142855,0.42857142857142855,0.0,-1.1428571428571432,lipid_like,1.044221183654898
C13H22O2,222.157993,13,22,2,0,0,0,CHO,3.0,1.6923076923076923,0.15384615384615385,0.0,0.16666666666666666,-1.384615384615385,lipid_like,1.2011304058370418
C10H8O4S,223.007044876712,10,8,4,0,1,0,CHOS,7.0,0.8,0.4,0.0,0.5714285714285714,0.20000000000000018,aromatic,0.7801032021381533
C10H8O6,223.024815818182,10,8,6,0,0,0,CHO,7.0,0.8,0.6,0.0,0.5714285714285714,0.3999999999999999,aromatic,0.8137953297041404
C9H8O5N2,223.036065,9,8,5,2,0,0,CHON,7.0,0.8888888888888888,0.5555555555555556,0.2222222222222222,0.7777777777777778,0.8888888888888888,condensed_aromatic,0.8642244983177948
C14H8O3,223.040134,14,8,3,0,0,0,CHO,11.0,0.5714285714285714,0.21428571428571427,0.0,0.76,-0.14285714285714324,condensed_aromatic,0.7906870672242939
C11H12O5,223.061175484375,11,12,5,0,0,0,CHO,6.0,1.0909090909090908,0.45454545454545453,0.0,0.4117647058823529,-0.18181818181818166,CRAM,1.1057452713185298
C8H16O5S,223.06454325,8,16,5,0,1,0,CHOS,1.0,2.0,0.625,0.0,0.0,-0.5,carbohydrate_like,0.9026621614222142
C10H12O4N2,223.072436,10,12,4,2,0,0,CHON,6.0,1.2,0.4,0.2,0.5,0.20000000000000018,aromatic,0.9975954879022215
C12H16O4,223.097574610169,12,16,4,0,0,0,CHO,5.0,1.3333333333333333,0.3333333333333333,0.0,0.3,-0.666666666666667,CRAM,1.248721840404816
C13H20O3,223.133917375,13,20,3,0,0,0,CHO,4.0,1.5384615384615385,0.23076923076923078,0.0,0.21739130434782608,-1.0769230769230766,lipid_like,1.3086225334030286
C9H8O4S,224.010442,9,8,4,0,1,0,CHOS,6.0,0.8888888888888888,0.4444444444444444,0.0,0.5,0.22222222222222232,aromatic,0.9177498850913068
C10H11O5N,224.056444809524,10,11,5,1,0,0,CHON,6.0,1.1,0.5,0.1,0.46153846153846156,0.20000000000000018,N_containing,1.2162051316534865
C11H15O4N,224.092768285714,11,15,4,1,0,0,CHON,5.0,1.3636363636363635,0.36363636363636365,0.09090909090909091,0.3125,-0.3636363636363633,CRAM,1.2786772549037324
C9H6O7,225.004045,9,6,7,0,0,0,CHO,7.0,0.6666666666666666,0.7777777777777778,0.0,0.6363636363636364,0.8888888888888888,aromatic,0.797766316588436
C10H10O6,225.040464873016,10,10,6,0,0,0,CHO,6.0,1.0,0.6,0.0,0.42857142857142855,0.20000000000000018,other,1.2230143773231879
C11H14O3S,225.05909625,11,14,3,0,1,0,CHOS,5.0,1.2727272727272727,0.2727272727272727,0.0,0.29411764705882354,-0.5454545454545459,CRAM,1.2136315438919338
C11H14O5,225.076846347826,11,14,5,0,0,0,CHO,5.0,1.2727272727272727,0.45454545454545453,0.0,0.29411764705882354,-0.3636363636363633,CRAM,1.2560786046518633
C10H14O4N2,225.0881085,10,14,4,2,0,0,CHON,5.0,1.4,0.4,0.2,0.3333333333333333,0.0,CRAM,1.2900621545688882
C12H18O4,225.11322220339,12,18,4,0,0,0,CHO,4.0,1.5,0.3333333333333333,0.0,0.2,-0.833333333333333,lipid_like,1.3225218404048158
C13H22O3,225.1496462,13,22,3,0,0,0,CHO,3.0,1.6923076923076923,0.23076923076923078,0.0,0.13043478260869565,-1.2307692307692308,lipid_like,1.2676225334030287
C9H9O6N,226.035704333333,9,9,6,1,0,0,CHON,6.0,1.0,0.6666666666666666,0.1111111111111111,0.5,0.6666666666666665,aromatic,0.9925827787313714
C10H13O5N,226.072100095238,10,13,5,1,0,0,CHON,5.0,1.3,0.5,0.1,0.3076923076923077,0.0,N_containing,1.3392051316534865
C10H14O5,226.080202,10,14,5,0,0,0,CHO,4.0,1.4,0.5,0.0,0.2,-0.40000000000000036,other,1.371864365579409
C11H17O4N,226.10848,11,17,4,1,0,0,CHON,4.0,1.5454545454545454,0.36363636363636365,0.09090909090909091,0.1875,-0.5454545454545459,lipid_like,1.3524772549037323
C9H8O7,227.019715,9,8,7,0,0,0,CHO,6.0,0.8888888888888888,0.7777777777777778,0.0,0.45454545454545453,0.6666666666666665,other,1.2211844984066178
C10H12O4S,227.038347666667,10,12,4,0,1,0,CHOS,5.0,1.2,0.4,0.0,0.2857142857142857,-0.20000000000000018,CRAM,1.2248555830905343
C10H12O6,227.056107030769,10,12,6,0,0,0,CHO,5.0,1.2,0.6,0.0,0.2857142857142857,0.0,other,1.346014377323188
C11H16O3S,227.074753,11,16,3,0,1,0,CHOS,4.0,1.4545454545454546,0.2727272727272727,0.0,0.17647058823529413,-0.7272727272727275,CRAM,1.2546315438919338
C11H16O5,227.092487648649,11,16,5,0,0,0,CHO,4.0,1.4545454545454546,0.45454545454545453,0.0,0.17647058823529413,-0.5454545454545459,CRAM,1.2970786046518632
C10H16O4N2,227.10371,10,16,4,2,0,0,CHON,4.0,1.6,0.4,0.2,0.16666666666666666,-0.20000000000000018,lipid_like,1.363862154568888
C12H20O4,227.128879603448,12,20,4,0,0,0,CHO,3.0,1.6666666666666667,0.3333333333333333,0.0,0.1,-1.0,lipid_like,1.2815218404048156
C9H11O6N,228.05131025,9,11,6,1,0,0,CHON,5.0,1.2222222222222223,0.6666666666666666,0.1111111111111111,0.3,0.44444444444444464,N_containing,1.3397161120647048
C10H15O5N,228.087741428571,10,15,5,1,0,0,CHON,4.0,1.5,0.5,0.1,0.15384615384615385,-0.20000000000000018,carbohydrate_like,1.2217562579645997
C10H16O5,228.0958595,10,16,5,0,0,0,CHO,3.0,1.6,0.5,0.0,0.06666666666666667,-0.5999999999999996,carbohydrate_like,1.1669488252238556
C12H23O3N,228.160527828571,12,23,3,1,0,0,CHON,2.0,1.9166666666666667,0.25,0.08333333333333333,0.0,-1.166666666666667,lipid_like,1.2030909948745052
C9H10O5S,229.017619545455,9,10,5,0,1,0,CHOS,5.0,1.1111111111111112,0.5555555555555556,0.0,0.2727272727272727,0.22222222222222232,other,1.3162253342468484
C9H10O7,229.0353778,9,10,7,0,0,0,CHO,5.0,1.1111111111111112,0.7777777777777778,0.0,0.2727272727272727,0.44444444444444464,other,1.3441844984066178
C13H10O4,229.050673333333,13,10,4,0,0,0,CHO,9.0,0.7692307692307693,0.3076923076923077,0.0,0.6363636363636364,-0.1538461538461542,aromatic,0.7724426298559016
C10H14O6,229.071761957746,10,14,6,0,0,0,CHO,4.0,1.4,0.6,0.0,0.14285714285714285,-0.20000000000000018,other,1.387014377323188
C11H18O5,229.108139913044,11,18,5,0,0,0,CHO,3.0,1.6363636363636365,0.45454545454545453,0.0,0.058823529411764705,-0.7272727272727275,lipid_like,1.2888786046518632
C12H22O4,229.144531738462,12,22,4,0,0,0,CHO,2.0,1.8333333333333333,0.3333333333333333,0.0,0.0,-1.166666666666667,lipid_like,1.185855173738149
C11H23O3N,229.163867,11,23,3,1,0,0,CHON,1.0,2.090909090909091,0.2727272727272727,0.09090909090909091,0.0,-1.2727272727272725,lipid_like,1.0552389766326777
C9H14O6,230.075116714286,9,14,6,0,0,0,CHO,3.0,1.5555555555555556,0.6666666666666666,0.0,0.0,-0.22222222222222232,carbohydrate_like,1.1609669434591685
C10H17O5N,230.103368,10,17,5,1,0,0,CHON,3.0,1.7,0.5,0.1,0.0,-0.40000000000000036,carbohydrate_like,1.208089591297933
C10H18O5,230.111524,10,18,5,0,0,0,CHO,2.0,1.8,0.5,0.0,0.0,-0.7999999999999998,carbohydrate_like,1.0712821585571888
C11H21O4N,230.139742,11,21,4,1,0,0,CHON,2.0,1.9090909090909092,0.36363636363636365,0.09090909090909091,0.0,-0.9090909090909092,lipid_like,1.2158105882370658
C12H8O5,231.029899333333,12,8,5,0,0,0,CHO,9.0,0.6666666666666666,0.4166666666666667,0.0,0.6842105263157895,0.16666666666666652,condensed_aromatic,0.857983254472638
C9H12O5S,231.0332925,9,12,5,0,1,0,CHOS,4.0,1.3333333333333333,0.5555555555555556,0.0,0.09090909090909091,0.0,other,1.3572253342468483
C9H12O7,231.05103427027,9,12,7,0,0,0,CHO,4.0,1.3333333333333333,0.7777777777777778,0.0,0.09090909090909091,0.22222222222222232,other,1.385184498406618
