sample,n_formulas,mean_CIR,sd_CIR,prop_high_CIR,richness,CIR_CRAM,CIR_N_containing,CIR_aromatic,CIR_carbohydrate_like,CIR_condensed_aromatic,CIR_lipid_like,CIR_other,CIR_protein_like,prop_other,prop_CRAM,prop_lipid_like,prop_aromatic,prop_carbohydrate_like,prop_N_containing,prop_protein_like,prop_condensed_aromatic,site_id,replicate,latitude,longitude,temperature_C,river,state,country,DOC_mgL
S000023.1,2918,1.1429539583860253,0.15812661069826367,0.4266620973269363,2918,1.0271516008678696,1.2170346348857026,0.871599043588339,1.1996906523710047,0.8970395074638662,1.2862619806294002,1.2458536197866448,1.130120380512133,0.3108293351610692,0.3026045236463331,0.08738862234407128,0.11651816312542837,0.06134338588074023,0.06751199451679232,0.02844413982179575,0.025359835503769704,S000023,1,38.494121,-122.85312,17.5,Mark West Creek,California,USA,5.164
S000023.2,2515,1.1376461987928614,0.15649930989577973,0.41789264413518884,2515,1.0289883279095327,1.214521505529207,0.8700884430953629,1.1981294922697099,0.8971260160811015,1.2882621110824493,1.2435300756479148,1.1316511994032152,0.3121272365805169,0.310934393638171,0.0874751491053678,0.11292246520874752,0.0536779324055666,0.07196819085487077,0.02743538767395626,0.02345924453280318,S000023,2,38.494121,-122.85312,17.5,Mark West Creek,California,USA,5.164
S000023.3,2182,1.149362324610506,0.15829948564834914,0.4216315307057745,2182,1.0319938396717436,1.2126116054680607,0.8689344834207375,1.2017637416663554,0.873479875724825,1.2790982042861152,1.2461273431301818,1.130769617692453,0.3029330889092576,0.31805682859761686,0.09578368469294225,0.11365719523373052,0.052703941338221816,0.0692025664527956,0.027497708524289642,0.02016498625114574,S000023,3,38.494121,-122.85312,17.5,Mark West Creek,California,USA,5.164
S000030.1,2213,1.1426009981687144,0.15587752282064196,0.447356529597831,2213,1.020166268523825,1.2144349432314316,0.8687920027361121,1.1998932535609976,0.8687074390001857,1.2795634945033925,1.2485716900583055,1.1151515079887961,0.3375508359692725,0.3176683235427022,0.08088567555354723,0.09353818346136467,0.06868504292815183,0.054676909173068236,0.031179394487121554,0.015815634884771803,S000030,1,38.922791,-106.949624,10.3,East River,Colorado,USA,1.91
S000030.2,3060,1.142774264202378,0.157383353800102,0.44248366013071894,3060,1.0161260340662381,1.2180942752601225,0.8729810894616561,1.1988982330733353,0.8884986896068222,1.2743669406780067,1.2516128824151176,1.117763471732699,0.3212418300653595,0.3173202614379085,0.08660130718954248,0.09901960784313725,0.06405228758169934,0.06209150326797386,0.028431372549019607,0.021241830065359478,S000030,2,38.922791,-106.949624,10.3,East River,Colorado,USA,1.91
S000030.3,3133,1.1410340778050438,0.15680833897548366,0.44366421959782953,3133,1.0150792142829257,1.2190049194552335,0.8735016654276324,1.1995687835439344,0.8971838961157087,1.2789888787505848,1.2512807662778418,1.1153435709952755,0.3252473667411427,0.3230130864985637,0.08330673475901691,0.1008617938078519,0.06351739546760293,0.05872965209064794,0.02872646026172997,0.016597510373443983,S000030,3,38.922791,-106.949624,10.3,East River,Colorado,USA,1.91
S000035.1,3566,1.1378578680109661,0.1609999542831054,0.41587212563095904,3566,1.0276940722566743,1.2213050767167075,0.8723543582779105,1.1994710141536775,0.9047351238300525,1.2859662741817772,1.248762731595343,1.127556240996745,0.27565900168255747,0.31604038137969714,0.10011217049915871,0.11749859786876052,0.06674144699943915,0.06702187324733595,0.025238362310712283,0.03168816601233875,S000035,1,39.99883,-83.023911,28.0,Olentangy,Ohio,USA,4.759
S000035.2,2901,1.1352222439428004,0.16015635593070057,0.4119269217511203,2901,1.0283447097812792,1.215029398798546,0.8703712916247116,1.1919151640684815,0.884944233040985,1.2892523422434217,1.2466354712614238,1.1313025181755172,0.2819717338848673,0.32368148914167527,0.09651844191658049,0.1189245087900724,0.06514994829369183,0.06618407445708377,0.02619786280592899,0.021371940710099964,S000035,2,39.99883,-83.023911,28.0,Olentangy,Ohio,USA,4.759
S000035.3,3668,1.1353742659734862,0.16250332663221892,0.4138495092693566,3668,1.0252688981539435,1.2205562765718252,0.8731514296793261,1.1947466457201283,0.8939033425560112,1.2945507442861885,1.248399575159489,1.1383018176615407,0.2734460196292257,0.32251908396946566,0.09678298800436205,0.12022900763358779,0.06652126499454744,0.06788440567066521,0.023446019629225736,0.02917121046892039,S000035,3,39.99883,-83.023911,28.0,Olentangy,Ohio,USA,4.759
S000036.1,3763,1.1457357947213893,0.1614313019694807,0.4395429178846665,3763,1.0259376365158428,1.2227496508784572,0.8750149553084287,1.2002497559338792,0.9100463368278285,1.2922162270536026,1.251599740274579,1.1288823544921078,0.3125166090884932,0.2798299229338294,0.07892638851979804,0.12516609088493225,0.07414297103374967,0.06882806271591815,0.028169014084507043,0.032420940738772254,S000036,1,41.38247,-82.514685,20.8,Old Woman Creek,Ohio,USA,5.006
